epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6135,1.35748,1.337,0.00405,0.87113,0.61686,0.7094,0.54673,1.02958,1.59928,0.00425,1.62963e-05,1.62963e-05,0.0674237
2,65.2236,1.23246,1.18956,0.00385,0.88551,0.80531,0.86096,0.67122,0.90981,0.74187,0.00387,3.28736e-05,3.28736e-05,0.0341069
3,87.2117,1.17113,1.19924,0.0036,0.88467,0.81037,0.8599,0.66103,0.91714,0.695,0.00388,4.90928e-05,4.90928e-05,0.000789834
4,109.572,1.14655,1.12301,0.00346,0.87437,0.8191,0.86335,0.66456,0.91133,0.69263,0.00388,4.87886e-05,4.87886e-05,4.87886e-05
5,130.269,1.14426,1.09501,0.00366,0.86356,0.83368,0.86176,0.66329,0.91435,0.69702,0.00388,4.78603e-05,4.78603e-05,4.78603e-05
6,152.461,1.15324,1.11712,0.00354,0.8744,0.82232,0.86382,0.66721,0.91059,0.6914,0.00388,4.66841e-05,4.66841e-05,4.66841e-05
7,173.656,1.13572,1.09913,0.0034,0.87571,0.82061,0.86358,0.66598,0.91343,0.6921,0.00388,4.52732e-05,4.52732e-05,4.52732e-05
8,196.41,1.09898,1.07768,0.00312,0.85782,0.84451,0.86628,0.66791,0.90888,0.68908,0.00388,4.36428e-05,4.36428e-05,4.36428e-05
9,217.485,1.19194,1.11384,0.00356,0.88631,0.81605,0.86547,0.66927,0.90052,0.67856,0.00383,4.1811e-05,4.1811e-05,4.1811e-05
10,239.017,1.12582,1.06718,0.00355,0.85489,0.83807,0.86414,0.66895,0.89736,0.67659,0.0038,3.97977e-05,3.97977e-05,3.97977e-05
11,260.673,1.1213,1.02309,0.00345,0.88656,0.8162,0.86493,0.66973,0.89982,0.68003,0.00382,3.7625e-05,3.7625e-05,3.7625e-05
12,282.22,1.05759,1.03927,0.0032,0.88215,0.8162,0.86428,0.66813,0.90366,0.68279,0.00382,3.53167e-05,3.53167e-05,3.53167e-05
13,304.455,1.17659,1.13387,0.00341,0.89001,0.81589,0.86437,0.66835,0.89745,0.67991,0.00382,3.28982e-05,3.28982e-05,3.28982e-05
14,325.078,1.14794,1.1283,0.00343,0.88519,0.82206,0.86621,0.67252,0.89878,0.68082,0.00381,3.03958e-05,3.03958e-05,3.03958e-05
15,347.566,1.14323,1.02904,0.00354,0.88138,0.82066,0.86568,0.6712,0.89713,0.67777,0.0038,2.78371e-05,2.78371e-05,2.78371e-05
16,369.462,1.12077,1.06483,0.00336,0.88619,0.81972,0.86682,0.67158,0.89691,0.67547,0.0038,2.525e-05,2.525e-05,2.525e-05
17,391.688,1.08981,1.07562,0.00329,0.88746,0.81948,0.86643,0.67219,0.90186,0.67808,0.00382,2.26629e-05,2.26629e-05,2.26629e-05
18,411.914,1.14971,1.10551,0.00343,0.88183,0.82741,0.86918,0.67208,0.90101,0.67968,0.00383,2.01042e-05,2.01042e-05,2.01042e-05
19,433.877,1.11392,1.09418,0.00366,0.88462,0.81789,0.86636,0.67218,0.89953,0.66813,0.00381,1.76018e-05,1.76018e-05,1.76018e-05
20,454.431,1.18974,1.0914,0.00369,0.88454,0.81991,0.86719,0.67225,0.89618,0.67737,0.0038,1.51833e-05,1.51833e-05,1.51833e-05
21,479.55,1.07392,1.17967,0.00409,0.87576,0.82311,0.85603,0.66387,0.91535,0.7632,0.00389,1.2875e-05,1.2875e-05,1.2875e-05
22,499.315,0.99869,1.04636,0.00345,0.87878,0.79897,0.85029,0.65867,0.92088,0.80586,0.0039,1.07023e-05,1.07023e-05,1.07023e-05
23,520.275,1.04512,1.15972,0.00411,0.86916,0.81136,0.85127,0.65588,0.92504,0.81501,0.00391,8.68902e-06,8.68902e-06,8.68902e-06
24,541.14,1.03094,1.12786,0.00372,0.86484,0.80362,0.8485,0.65599,0.9257,0.82545,0.00393,6.85717e-06,6.85717e-06,6.85717e-06
25,560.976,1.03179,1.14201,0.00361,0.86588,0.80498,0.84813,0.6543,0.92457,0.82694,0.00392,5.22683e-06,5.22683e-06,5.22683e-06
26,582.212,0.98,1.0559,0.00342,0.86843,0.81329,0.84826,0.65505,0.92431,0.83239,0.00393,3.81587e-06,3.81587e-06,3.81587e-06
27,602.824,1.08222,1.22899,0.00399,0.86268,0.8071,0.84897,0.65393,0.92748,0.83422,0.00394,2.63975e-06,2.63975e-06,2.63975e-06
28,623.329,1.0644,1.13606,0.00377,0.86337,0.80852,0.84825,0.65413,0.92342,0.80616,0.00395,1.71135e-06,1.71135e-06,1.71135e-06
29,644.601,1.03334,1.08227,0.00395,0.87554,0.79862,0.84716,0.65408,0.92432,0.82315,0.00393,1.04085e-06,1.04085e-06,1.04085e-06
30,664.854,1.09136,1.12955,0.004,0.85693,0.80864,0.84927,0.65538,0.92156,0.79579,0.00392,6.35583e-07,6.35583e-07,6.35583e-07
